item_id,item_name,category,size,base_price,is_seasonal
1,Small Original,Base Flavor,Small,4.99,False
2,Medium Original,Base Flavor,Medium,5.99,False
3,Large Original,Base Flavor,Large,6.99,False
4,Small Chocolate,Base Flavor,Small,4.99,False
5,Medium Chocolate,Base Flavor,Medium,5.99,False
6,Large Chocolate,Base Flavor,Large,6.99,False
7,Small Strawberry,Base Flavor,Small,4.99,False
8,Medium Strawberry,Base Flavor,Medium,5.99,False
9,Large Strawberry,Base Flavor,Large,6.99,False
10,Small Mango,Base Flavor,Small,4.99,False
11,Medium Mango,Base Flavor,Medium,5.99,False
12,Large Mango,Base Flavor,Large,6.99,False
13,Small Green Tea,Base Flavor,Small,4.99,False
14,Medium Green Tea,Base Flavor,Medium,5.99,False
15,Large Green Tea,Base Flavor,Large,6.99,False
16,Small Pomegranate,Base Flavor,Small,4.99,False
17,Medium Pomegranate,Base Flavor,Medium,5.99,False
18,Large Pomegranate,Base Flavor,Large,6.99,False
19,Small Coconut,Base Flavor,Small,4.99,False
20,Medium Coconut,Base Flavor,Medium,5.99,False
21,Large Coconut,Base Flavor,Large,6.99,False
22,Small Peanut Butter,Base Flavor,Small,4.99,False
23,Medium Peanut Butter,Base Flavor,Medium,5.99,False
24,Large Peanut Butter,Base Flavor,Large,6.99,False
25,Fresh Strawberries,Topping,Regular,0.99,False
26,Blueberries,Topping,Regular,0.99,False
27,Mango,Topping,Regular,0.99,False
28,Chocolate Chips,Topping,Regular,0.99,False
29,Almonds,Topping,Regular,0.99,False
30,Granola,Topping,Regular,0.99,False
31,Honey,Topping,Regular,0.99,False
32,Caramel,Topping,Regular,0.99,False
33,Whipped Cream,Topping,Regular,0.99,False
34,Brownie Bits,Topping,Regular,0.99,False
35,Cookie Dough,Topping,Regular,0.99,False
36,Sprinkles,Topping,Regular,0.99,False
